loan_id,age,gender,job_title,annual_income,loan_amount,loan_purpose,credit_score,number_of_dependents,applicant_statement,loan_status,sentiment,text_risk_prob,text_risk,annual_income_safe,loan_to_income_ratio,sentiment_risk,credit_risk,lti_risk,dependents_risk,purpose_risk,risk_score,risk_category,loan_intent
L1012,49,Female,Data Analyst,110000,22000,Home,780,1,We are refinancing our mortgage to secure a better rate. My income stability makes this a low-risk proposition.,1,Neutral,0.0714074596762657,0,110000,0.2,1,0,0,1,0,2,Low,Personal/Lifestyle
L1013,33,Male,Electrician,68000,11000,Business,650,3,I am purchasing new tools for my growing electrical business. I just need this boost to take on bigger projects.,1,Positive,0.5365966558456421,1,68000,0.1617647058823529,0,2,0,2,1,11,High,Business/Investment
L1014,60,Female,Librarian,58000,7000,Medical,715,3,"Needed for ongoing treatment costs. My retirement savings, combined with my current income, should cover this easily.",1,Negative,0.4746191203594208,1,58000,0.1206896551724138,2,1,0,2,1,10,Medium,Basic Needs/Survival
L1015,26,Male,Barista,28000,6000,Personal,595,0,I'm a bit short on funds until my next paycheck comes through. This small loan would really save me from late fees on other bills.,0,Negative,0.4277930557727813,1,28000,0.2142857142857142,2,3,1,0,2,17,High,Business/Investment
L1016,44,Female,Accountant,92000,19000,Home,750,2,Securing a larger loan for home renovations. I have excellent financial discipline and this fits well within my budget.,1,Positive,0.3750357627868652,1,92000,0.2065217391304347,0,0,1,1,0,5,Low,Personal/Lifestyle
L1017,30,Male,Warehouse Worker,40000,10000,Personal,575,1,"Facing severe financial strain and need immediate relief to stop mounting debt interest. Please approve this, I'm desperate.",0,Negative,0.9201955795288086,2,40000,0.25,2,3,1,1,2,20,High,Basic Needs/Survival
L1018,52,Female,Doctor,180000,45000,Education,820,2,Funding advanced medical research fellowships. My professional standing and assets support this investment.,1,Positive,0.4672673642635345,1,180000,0.25,0,0,1,1,1,6,Medium,Personal/Lifestyle
L1019,37,Male,IT Consultant,115000,28000,Business,775,0,Investing in specialized certification for my consulting practice to increase billable hours. Repayment is prioritized.,1,Neutral,0.4564791023731231,1,115000,0.2434782608695652,1,0,1,0,1,6,Medium,Business/Investment
L1020,21,Female,Cashier,25000,2500,Personal,520,0,I made a bad choice with credit cards and need to consolidate this urgent debt. I swear I won't get into this situation again.,0,Negative,0.7401657700538635,2,25000,0.1,2,3,0,0,2,17,High,Personal/Lifestyle
L1021,48,Male,Engineer,135000,40000,Home,805,3,"Acquiring a vacation property requires this funding. My consistent, high-level income stream is well documented.",1,Neutral,0.5507084131240845,1,135000,0.2962962962962963,1,0,1,2,0,7,Medium,Personal/Lifestyle
L1022,58,Female,Manager,105000,16000,Personal,735,4,Need to cover unexpected costs related to an elderly parent's care. Everything is under control financially.,1,Negative,0.7967257499694824,2,105000,0.1523809523809524,2,1,0,2,2,13,High,Personal/Lifestyle
L1023,29,Male,Graphic Designer,52000,9000,Education,665,1,Covering the final semester fees for my degree. I have a job lined up immediately after graduation.,1,Neutral,0.5269047617912292,1,52000,0.173076923076923,1,2,0,1,1,11,High,Personal/Lifestyle
L1024,40,Female,Real Estate Agent,88000,20000,Business,700,2,Need short-term financing to cover marketing expenses for a major property listing. Commission pipeline looks very strong.,1,Positive,0.5402621030807495,1,88000,0.2272727272727272,0,1,1,1,1,9,Medium,Business/Investment
L1025,65,Male,Retired,55000,5000,Medical,770,3,Routine major health procedure coverage. My fixed income is reliable.,1,Neutral,0.1721702814102172,0,55000,0.0909090909090909,1,0,0,2,1,4,Low,Personal/Lifestyle
L1026,33,Female,Paralegal,62000,13000,Personal,690,1,"Consolidating a few smaller, high-interest loans into one manageable payment. I've created a very strict repayment budget.",1,Positive,0.5767899751663208,1,62000,0.2096774193548387,0,2,1,1,2,13,High,Business/Investment
L1027,27,Male,Sales Associate,45000,7000,Education,630,0,Hoping to take a specialized coding bootcamp to improve my career prospects. I'm committed to paying this back through hard work.,1,Neutral,0.5443205833435059,1,45000,0.1555555555555555,1,3,0,0,1,13,High,Personal/Lifestyle
L1028,51,Female,Administrator,75000,11000,Home,740,3,Minor home repairs that must be completed before winter. My income is stable and predictable.,1,Negative,0.4229059815406799,1,75000,0.1466666666666666,2,1,0,2,0,9,Medium,Personal/Lifestyle
L1029,35,Male,Chef,48000,15000,Business,590,2,"Trying to start a small catering venture on the side. I have a solid plan, I just need the equipment capital.",0,Negative,0.5587303042411804,1,48000,0.3125,2,3,1,1,1,17,High,Business/Investment
L1030,42,Female,Financial Advisor,130000,30000,Education,810,1,Funding advanced certifications in wealth management. Repayment capacity is excellent.,1,Positive,0.3857008814811706,1,130000,0.2307692307692307,0,0,1,1,1,6,Medium,Personal/Lifestyle
L1031,19,Male,Fast Food Worker,20000,1500,Personal,510,0,"I am in a terrible situation and need this cash immediately to keep my apartment. If I don't get this, I'm out on the street.",0,Very Negative,0.9448959827423096,2,20000,0.075,1,3,0,0,2,16,High,Personal/Lifestyle
L1032,59,Female,Scientist,160000,38000,Home,830,2,Purchasing a larger residence suitable for my retirement years. Excellent credit history supports this request.,1,Positive,0.4869172573089599,1,160000,0.2375,0,0,1,1,0,5,Low,Personal/Lifestyle
L1033,31,Male,Plumber,61000,10000,Business,675,1,Need to purchase a new commercial van for my plumbing service. This will directly increase my earning potential.,1,Neutral,0.5421215891838074,1,61000,0.1639344262295081,1,2,0,1,1,11,High,Personal/Lifestyle
L1034,46,Female,HR Specialist,80000,17000,Medical,725,3,Covering specialist surgery costs not fully covered by insurance. My budget accounts for this repayment.,1,Negative,0.517787754535675,1,80000,0.2125,2,1,1,2,1,12,High,Personal/Lifestyle
L1035,25,Male,Warehouse Supervisor,39000,8500,Personal,605,1,Trying to pay off an old debt that is impacting my ability to rent a better apartment. It is urgent.,0,Negative,0.7847751975059509,2,39000,0.2179487179487179,2,3,1,1,2,20,High,Personal/Lifestyle
L1036,53,Female,Professor,102000,25000,Education,795,2,Supporting my daughter's final year of graduate school abroad. My career stability guarantees repayment.,1,Neutral,0.4698468148708343,1,102000,0.2450980392156862,1,0,1,1,1,7,Medium,Personal/Lifestyle
L1037,39,Male,Truck Driver,75000,18000,Home,655,4,Funds required for essential maintenance on my current home. I have significant dependents but steady income.,1,Neutral,0.5135137438774109,1,75000,0.24,1,2,1,2,0,13,High,Basic Needs/Survival
L1038,23,Female,Intern,30000,4000,Personal,560,0,I'm new to the workforce and struggling to manage initial living expenses until my official salary kicks in. Hoping for leniency.,0,Negative,0.5935128927230835,1,30000,0.1333333333333333,2,3,0,0,2,15,High,Personal/Lifestyle
L1039,61,Male,Landscaper,50000,6000,Medical,730,3,Just covering some supplemental vision care costs. Everything is fine otherwise.,1,Positive,0.3113817572593689,0,50000,0.12,0,1,0,2,1,6,Medium,Personal/Lifestyle
L1040,47,Female,Biologist,115000,21000,Business,778,1,Need capital to acquire lab equipment for a new research project. My institutional funding stream is solid.,1,Positive,0.7095602750778198,2,115000,0.1826086956521739,0,0,0,1,1,6,Medium,Basic Needs/Survival
L1041,34,Male,Carpenter,53000,12000,Home,645,2,"Putting in a new kitchen. I handle all construction myself, so the loan is just for materials.",1,Neutral,0.493469625711441,1,53000,0.2264150943396226,1,3,1,1,0,15,High,Personal/Lifestyle
L1042,56,Female,Executive,190000,50000,Personal,840,0,Requesting a loan for a significant personal investment portfolio diversification. Repayment from established passive income streams.,1,Neutral,0.539684534072876,1,190000,0.2631578947368421,1,0,1,0,2,7,Medium,Personal/Lifestyle
L1043,28,Male,Cashier,35000,7500,Personal,585,1,Need help covering car repairs so I can keep my job. This is critical for my short-term survival.,0,Neutral,0.4723768830299377,1,35000,0.2142857142857142,1,3,1,1,2,17,High,Basic Needs/Survival
L1044,43,Female,Project Manager,98000,24000,Education,765,2,"Funding executive MBA modules. My employer is partially sponsoring, but I need this gap covered.",1,Negative,0.5202929377555847,1,98000,0.2448979591836734,2,0,1,1,1,8,Medium,Business/Investment
L1045,50,Male,Mechanic,62000,9000,Business,680,4,Buying a specialized diagnostic machine for the garage. This investment will pay for itself quickly.,1,Neutral,0.5222234129905701,1,62000,0.1451612903225806,1,2,0,2,1,12,High,Business/Investment
L1046,21,Female,Student,15000,2000,Personal,535,0,"I am drowning in small bills and fees. I need immediate help to stop the late payment cycle, I'm completely overwhelmed.",0,Negative,0.7301465272903442,2,15000,0.1333333333333333,2,3,0,0,2,17,High,Personal/Lifestyle
L1047,46,Male,Firefighter,82000,16000,Home,710,3,Securing funds for an addition to our home for my growing family. Stable public sector job.,1,Neutral,0.4482924044132232,1,82000,0.1951219512195122,1,1,0,2,0,8,Medium,Personal/Lifestyle
L1048,32,Female,Social Worker,51000,10000,Medical,660,2,Covering unexpected costs related to an accident. I just need a little breathing room right now.,0,Negative,0.6776726841926575,2,51000,0.196078431372549,2,2,0,1,1,14,High,Basic Needs/Survival
L1049,63,Male,Consultant,112000,14000,Personal,785,1,"Investing in high-yield bonds. My risk profile is very low, given my financial standing.",1,Positive,0.3648631274700165,1,112000,0.125,0,0,0,1,2,5,Low,Business/Investment
L1050,37,Female,Chef,59000,13000,Business,695,2,Need specialized oven equipment for scaling up my small restaurant operation. I have excellent local reception.,1,Positive,0.6058833599090576,1,59000,0.2203389830508474,0,2,1,1,1,12,High,Personal/Lifestyle
L1051,49,Male,Accountant,90000,20000,Home,748,2,Refinancing current mortgage for better terms. My income stability is my best asset.,1,Positive,0.4240284264087677,1,90000,0.2222222222222222,0,1,1,1,0,8,Medium,Personal/Lifestyle
L1052,25,Female,Receptionist,34000,5500,Personal,602,1,"Covering moving expenses as I take a new, better-paying job next month. This bridges the gap.",0,Neutral,0.5188226103782654,1,34000,0.1617647058823529,1,3,0,1,2,15,High,Personal/Lifestyle
L1053,55,Male,Engineer,145000,45000,Education,815,1,Funding my child's final year of medical school. I have the means to repay this easily.,1,Neutral,0.4718503355979919,1,145000,0.3103448275862069,1,0,1,1,1,7,Medium,Personal/Lifestyle
L1054,30,Female,Sales Clerk,38000,7000,Medical,598,3,Unexpected dental work needed urgently. I really hope this gets approved; my savings are depleted.,0,Negative,0.5451837182044983,1,38000,0.1842105263157894,2,3,0,2,1,16,High,Basic Needs/Survival
L1055,41,Male,Pilot,155000,35000,Business,800,0,Purchasing a new flight simulator system for advanced training. My salary is excellent and secure.,1,Positive,0.5157729983329773,1,155000,0.2258064516129032,0,0,1,0,1,5,Low,Personal/Lifestyle
L1056,68,Female,Retired,52000,4500,Personal,752,4,A small loan to cover immediate living expenses until my quarterly dividends arrive. Everything is well managed.,1,Positive,0.49838787317276,1,52000,0.0865384615384615,0,0,0,2,2,6,Medium,Personal/Lifestyle
L1057,22,Male,Tutor,29000,3500,Education,572,1,Need funds for textbooks and travel costs for my continuing university education. I'm working hard to keep costs down.,0,Negative,0.5485879182815552,1,29000,0.1206896551724138,2,3,0,1,1,15,High,Personal/Lifestyle
L1058,38,Female,Lawyer,120000,28000,Home,792,2,"Need to finalize the purchase of a legal office downtown. My practice has steady, high-value clients.",1,Neutral,0.586181640625,1,120000,0.2333333333333333,1,0,1,1,0,6,Medium,Personal/Lifestyle
L1059,45,Male,Driver,42000,9000,Personal,565,3,"Car broke down, and I need it for work. If I can't drive, I can't earn. Please help me out.",0,Negative,0.6525062918663025,1,42000,0.2142857142857142,2,3,1,2,2,19,High,Personal/Lifestyle
L1060,52,Female,Doctor,195000,55000,Medical,835,1,Funding advanced medical research equipment purchase. My professional credibility assures repayment.,1,Positive,0.4407421350479126,1,195000,0.282051282051282,0,0,1,1,1,6,Medium,Personal/Lifestyle
L1061,26,Male,Retail Manager,47000,11000,Business,652,0,"Starting a small online retail venture. I need initial inventory capital. It's a big risk, but I feel it's worth it.",0,Positive,0.8141656517982483,2,47000,0.2340425531914893,0,2,1,0,1,13,High,Business/Investment
L1062,60,Female,Accountant,95000,18000,Education,742,3,Paying off remaining student debt from my postgraduate studies. Time to clear the slate.,1,Neutral,0.5206281542778015,1,95000,0.1894736842105263,1,1,0,2,1,9,Medium,Personal/Lifestyle
L1063,33,Male,Electrician,72000,15000,Home,682,2,Installing a solar panel system on my house to lower monthly overhead costs. A sound long-term investment.,1,Neutral,0.4597606360912323,1,72000,0.2083333333333333,1,2,1,1,0,12,High,Personal/Lifestyle
L1064,48,Female,Scientist,140000,32000,Business,808,1,Expanding my lab's research capabilities. I have several grants pending confirmation.,1,Positive,0.4811420738697052,1,140000,0.2285714285714285,0,0,1,1,1,6,Medium,Business/Investment
L1065,21,Male,Dishwasher,21000,3000,Personal,505,0,I have overwhelming debt from a guarantor situation. I am completely unable to cope with the payments right now.,0,Very Negative,0.6733188629150391,2,21000,0.1428571428571428,1,3,0,0,2,16,High,Personal/Lifestyle
L1066,54,Female,Teacher,68000,12000,Medical,718,4,Covering costs for my aging parent's assisted living expenses. It's manageable but requires some buffer.,1,Neutral,0.4601927995681762,1,68000,0.1764705882352941,1,1,0,2,1,9,Medium,Personal/Lifestyle
L1067,36,Male,Software Developer,118000,26000,Personal,788,0,Need funds to cover an unexpected major tax bill. My liquid assets are temporarily tied up.,1,Negative,0.6951654553413391,2,118000,0.2203389830508474,2,0,1,0,2,10,Medium,Business/Investment
L1068,44,Female,Manager,100000,22000,Home,758,2,Major kitchen remodel planned for the summer. My finances are very stable.,1,Positive,0.4545938372611999,1,100000,0.22,0,0,1,1,0,5,Low,Personal/Lifestyle
L1069,29,Male,Barista,31000,6500,Education,590,1,"Saving up for vocational training. I know this is small, but it's a start.",0,Positive,0.1640222370624542,0,31000,0.2096774193548387,0,3,1,1,1,13,High,Basic Needs/Survival
L1070,62,Female,Retired,65000,8000,Personal,768,3,A needed upgrade to my travel fund for next year. My retirement portfolio performs well.,1,Positive,0.5075018405914307,1,65000,0.123076923076923,0,0,0,2,2,6,Medium,Personal/Lifestyle
L1071,35,Male,Sales Manager,85000,19000,Business,708,1,Purchasing a new territory franchise license. Expected ROI is high.,1,Neutral,0.7136960029602051,2,85000,0.2235294117647059,1,1,1,1,1,12,High,Business/Investment
L1072,24,Female,Clerk,28000,4500,Medical,578,1,Need to replace lost prescription lenses and cover an urgent check-up. I don't have an emergency fund yet.,0,Neutral,0.6045123338699341,1,28000,0.1607142857142857,1,3,0,1,1,14,High,Personal/Lifestyle
L1073,49,Male,Engineer,130000,38000,Home,802,2,Funds needed for geothermal heating system installation. Significant long-term savings potential.,1,Neutral,0.5307562947273254,1,130000,0.2923076923076923,1,0,1,1,0,6,Medium,Basic Needs/Survival
L1074,57,Female,HR Director,115000,25000,Education,782,1,Sponsoring a specialized leadership course for high-potential employees in my department.,1,Neutral,0.543736457824707,1,115000,0.217391304347826,1,0,1,1,1,7,Medium,Business/Investment
L1075,32,Male,Truck Driver,65000,14000,Personal,648,3,My truck needs a major engine overhaul to continue reliable service. This is work-essential.,0,Neutral,0.4870097041130066,1,65000,0.2153846153846154,1,3,1,2,2,18,High,Basic Needs/Survival
L1076,41,Female,Nurse,78000,18000,Medical,732,2,Need to cover a portion of my aging parent's nursing home fees that insurance won't cover.,1,Negative,0.5599381923675537,1,78000,0.2307692307692307,2,1,1,1,1,11,High,Personal/Lifestyle
L1077,20,Male,Student,19000,2500,Personal,540,0,"I am completely out of money before my scholarship funds clear next month. Please, I'm desperate for rent money.",0,Very Negative,0.5799175500869751,1,19000,0.131578947368421,1,3,0,0,2,14,High,Personal/Lifestyle
L1078,64,Female,Professor,105000,10000,Business,772,1,Small capital injection to fund final edits and publication costs for a new textbook.,1,Neutral,0.4732924401760101,1,105000,0.0952380952380952,1,0,0,1,1,5,Low,Business/Investment
L1079,39,Male,Mechanic,58000,13000,Home,668,4,Repairing significant storm damage to my roof. Cannot delay this major structural repair.,1,Negative,0.7795861959457397,2,58000,0.2241379310344827,2,2,1,2,0,16,High,Basic Needs/Survival
L1080,47,Female,Accountant,93000,21000,Education,755,1,Financing my adult child's graduate studies overseas. I am fully capable of meeting the obligations.,1,Positive,0.5008660554885864,1,93000,0.2258064516129032,0,0,1,1,1,6,Medium,Personal/Lifestyle
L1081,27,Male,Warehouse Associate,36000,7000,Personal,582,2,Trying to pay off a very high-interest payday loan from last month. I'm in a tight spot.,0,Negative,0.6864999532699585,2,36000,0.1944444444444444,2,3,0,1,2,18,High,Personal/Lifestyle
L1082,51,Female,Executive,170000,40000,Home,825,0,Down payment assistance for a second property investment. All finances are robust.,1,Positive,0.4949612021446228,1,170000,0.2352941176470588,0,0,1,0,0,4,Low,Business/Investment
L1083,34,Male,Data Entry Clerk,39000,6000,Education,615,1,Paying for certification exams to move into an IT role. I have a new job offer contingent on passing.,0,Neutral,0.5132749080657959,1,39000,0.1538461538461538,1,3,0,1,1,14,High,Personal/Lifestyle
L1084,59,Female,Manager,110000,23000,Business,762,3,Need to purchase updated management software suite for my team. Improves overall efficiency.,1,Positive,0.4794647991657257,1,110000,0.209090909090909,0,0,1,2,1,7,Medium,Business/Investment
L1085,23,Male,Waiter,26000,4000,Personal,555,1,Saving up to buy a reliable used car for commuting to my new full-time job starting next month.,0,Neutral,0.5103785395622253,1,26000,0.1538461538461538,1,3,0,1,2,15,High,Personal/Lifestyle
L1086,42,Female,Librarian,54000,9000,Medical,702,2,Unexpected specialist co-pays required. My budget is stretched thin this quarter.,0,Neutral,0.5607149600982666,1,54000,0.1666666666666666,1,1,0,1,1,8,Medium,Business/Investment
L1087,46,Male,Sales Director,105000,27000,Home,785,1,Refinancing existing debt into a lower-rate mortgage extension. A standard financial management maneuver.,1,Neutral,0.4563936293125152,1,105000,0.2571428571428571,1,0,1,1,0,6,Medium,Basic Needs/Survival
L1088,31,Female,Nurse,67000,11000,Education,725,1,Paying for advanced certification in specialized critical care nursing.,1,Neutral,0.4575197994709015,1,67000,0.1641791044776119,1,1,0,1,1,8,Medium,Basic Needs/Survival
L1089,53,Male,Scientist,150000,35000,Business,812,0,"Funding a complex international research collaboration. The timeline is aggressive, and I need fast cash.",0,Positive,0.6137096881866455,1,150000,0.2333333333333333,0,0,1,0,1,5,Low,Business/Investment
L1090,28,Female,Graphic Designer,57000,10000,Personal,675,2,Consolidating credit card debt that has gotten out of hand recently. I need stability now.,0,Negative,0.4928564131259918,1,57000,0.175438596491228,2,2,0,1,2,13,High,Basic Needs/Survival
L1091,66,Male,Retired,70000,5000,Medical,798,1,Routine annual health maintenance expenses. Completely covered by fixed income.,1,Neutral,0.4460099637508392,1,70000,0.0714285714285714,1,0,0,1,1,5,Low,Personal/Lifestyle
L1092,37,Female,Teacher,62000,14000,Education,710,2,Funding specialized training for gifted and talented programs at my school.,1,Neutral,0.5431534051895142,1,62000,0.2258064516129032,1,1,1,1,1,10,Medium,Personal/Lifestyle
L1093,40,Male,Accountant,89000,19000,Home,740,3,Need funds for essential property tax payments that are due soon. My records are impeccable.,1,Positive,0.5127450823783875,1,89000,0.2134831460674157,0,1,1,2,0,9,Medium,Personal/Lifestyle
L1094,22,Female,Receptionist,31000,3000,Personal,568,0,"My roommate left suddenly, leaving me responsible for the full rent payment this month. I am completely out of options.",0,Negative,0.6630789041519165,2,31000,0.0967741935483871,2,3,0,0,2,17,High,Personal/Lifestyle
L1095,50,Male,Engineer,128000,33000,Business,799,1,Acquiring a new piece of heavy machinery for my engineering firm. Directly increases production capacity.,1,Neutral,0.5222815871238708,1,128000,0.2578125,1,0,1,1,1,7,Medium,Personal/Lifestyle
L1096,45,Female,HR Manager,95000,16000,Education,750,2,Paying for my teenager's overseas exchange program. A worthwhile investment in their future.,1,Positive,0.4858357012271881,1,95000,0.1684210526315789,0,0,0,1,1,4,Low,Business/Investment
L1097,33,Male,Construction Worker,50000,12000,Personal,620,3,Need to cover the security deposit and first month's rent for a new apartment after a difficult breakup.,0,Negative,0.6252546310424805,1,50000,0.24,2,3,1,2,2,19,High,Personal/Lifestyle
L1098,58,Female,Administrator,79000,14000,Medical,735,1,Covering costs associated with an ongoing therapeutic treatment plan.,1,Neutral,0.5742541551589966,1,79000,0.1772151898734177,1,1,0,1,1,8,Medium,Personal/Lifestyle
L1099,25,Male,Electrician Apprentice,37000,8000,Business,612,0,"Hoping to buy better tools, but my income is still too low compared to the loan size. I'm worried.",0,Negative,0.3354909420013428,1,37000,0.2162162162162162,2,3,1,0,1,16,High,Personal/Lifestyle
L1100,48,Female,Doctor,210000,60000,Home,845,1,Financing the construction of an auxiliary living unit on our property. Excellent financial foundation.,1,Positive,0.4043408036231994,1,210000,0.2857142857142857,0,0,1,1,0,5,Low,Personal/Lifestyle
L1101,30,Male,Software Engineer,110000,25000,Education,770,1,Paying off the last of my undergraduate student loans quickly. Wanting to be debt-free.,1,Negative,0.4886017441749573,1,110000,0.2272727272727272,2,0,1,1,1,8,Medium,Personal/Lifestyle
L1102,61,Female,Retired,48000,4000,Personal,745,2,Just need a small buffer for unexpected household maintenance costs. Stable fixed income.,1,Negative,0.2506505250930786,0,48000,0.0833333333333333,2,1,0,1,2,8,Medium,Basic Needs/Survival
L1103,21,Male,Security Guard,25000,3500,Personal,545,0,I have outstanding parking fines and fees that are escalating rapidly. I need immediate resolution.,0,Positive,0.6570680141448975,1,25000,0.14,0,3,0,0,2,13,High,Basic Needs/Survival
L1104,44,Female,Teacher,71000,13000,Medical,722,2,"My insurance deductible is high this year, requiring this loan for required procedures.",1,Negative,0.9886619448661804,2,71000,0.1830985915492957,2,1,0,1,1,11,High,Personal/Lifestyle
L1105,38,Male,Truck Driver,74000,17000,Home,650,3,Need funds for an essential transmission replacement on my primary vehicle used for work.,0,Neutral,0.580925464630127,1,74000,0.2297297297297297,1,2,1,2,0,13,High,Basic Needs/Survival
L1106,52,Female,Financial Analyst,140000,30000,Business,805,1,Strategic investment in proprietary trading software. My financial background supports this calculated risk.,1,Neutral,0.5134704113006592,1,140000,0.2142857142857142,1,0,1,1,1,7,Medium,Business/Investment
L1107,28,Male,Photographer,40000,8500,Education,635,1,Purchasing a high-end camera system necessary for securing commercial photography contracts.,1,Neutral,0.5261433124542236,1,40000,0.2125,1,3,1,1,1,16,High,Personal/Lifestyle
L1108,55,Female,Manager,102000,20000,Personal,775,1,Funding a large family trip overseas. My savings supplement this loan.,1,Positive,0.4457205533981323,1,102000,0.196078431372549,0,0,0,1,2,5,Low,Personal/Lifestyle
L1109,32,Male,Carpenter,55000,11000,Home,670,2,"Replacing old, inefficient windows for better energy performance. A wise investment.",1,Neutral,0.4609881937503814,1,55000,0.2,1,2,0,1,0,10,Medium,Business/Investment
L1110,49,Female,Nurse,88000,19000,Medical,745,1,Covering costs for my child's orthodontics plan.,1,Neutral,0.522718608379364,1,88000,0.2159090909090909,1,1,1,1,1,10,Medium,Personal/Lifestyle
L1111,24,Male,Fast Food Worker,22000,2000,Personal,525,0,I desperately need this money for bus fare to get to work; I lost my wallet. I feel so helpless.,0,Very Negative,0.9607226848602296,2,22000,0.0909090909090909,1,3,0,0,2,16,High,Personal/Lifestyle
L1112,60,Female,Librarian,60000,7000,Education,730,2,Covering costs for grandchildren's summer camp programs.,1,Neutral,0.5485503077507019,1,60000,0.1166666666666666,1,1,0,1,1,8,Medium,Personal/Lifestyle
L1113,36,Male,Sales Representative,78000,16000,Business,700,1,Need capital to attend a major industry trade show to generate new leads.,1,Neutral,0.6364936828613281,1,78000,0.2051282051282051,1,1,1,1,1,10,Medium,Business/Investment
L1114,41,Female,Accountant,92000,21000,Home,752,2,Need to pay property taxes early to secure a discount. My income stream is very reliable.,1,Negative,0.4879757463932037,1,92000,0.2282608695652173,2,0,1,1,0,7,Medium,Basic Needs/Survival
L1115,29,Male,Bartender,33000,6500,Personal,588,0,Just trying to catch up on several small credit card debts that are ballooning. I'm really stressed about this.,0,Negative,0.7080813646316528,2,33000,0.1969696969696969,2,3,0,0,2,17,High,Personal/Lifestyle
L1116,53,Female,Professor,115000,28000,Education,802,1,Funding a sabbatical project involving travel and research.,1,Neutral,0.5253170728683472,1,115000,0.2434782608695652,1,0,1,1,1,7,Medium,Business/Investment
L1117,47,Male,Pilot,165000,42000,Personal,818,0,"Investing in a private airplane hangar lease. High risk, but I believe strongly in the return.",0,Positive,0.9895081520080566,2,165000,0.2545454545454545,0,0,1,0,2,8,Medium,Business/Investment
L1118,35,Female,Software Developer,105000,24000,Business,765,1,Purchasing specialized cloud server infrastructure for scalable operations.,1,Neutral,0.5162369608879089,1,105000,0.2285714285714285,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1119,23,Male,Delivery Driver,30000,5000,Medical,580,1,Covering urgent car maintenance so I can continue delivering food orders.,0,Neutral,0.5273134112358093,1,30000,0.1666666666666666,1,3,0,1,1,14,High,Personal/Lifestyle
L1120,56,Female,Doctor,205000,58000,Home,842,1,Financing the purchase of a large coastal property. My asset base is substantial.,1,Positive,0.5795035362243652,1,205000,0.2829268292682926,0,0,1,1,0,5,Low,Business/Investment
