loan_id,age,gender,job_title,annual_income,loan_amount,loan_purpose,credit_score,number_of_dependents,applicant_statement,loan_status,sentiment,annual_income_safe,loan_to_income_ratio,dependents_bucket,risk_category,sentiment_risk,credit_risk,lti_risk,dependents_risk,purpose_risk,risk_score,risk_category_rules,risk_context
L1022,58,Female,Manager,105000,16000,Personal,735,4,Need to cover unexpected costs related to an elderly parent's care. Everything is under control financially.,1,Positive,105000,0.1523809523809524,3+,Low,0,1,0,2,2,7,Medium,"Applicant statement: Need to cover unexpected costs related to an elderly parent's care. Everything is under control financially.
credit_score: 735
annual_income: 105000
loan_amount: 16000
loan_to_income_ratio: 0.152
number_of_dependents: 4
loan_purpose: Personal
sentiment: Positive"
L1023,29,Male,Graphic Designer,52000,9000,Education,665,1,Covering the final semester fees for my degree. I have a job lined up immediately after graduation.,1,Positive,52000,0.17307692307692307,1-2,Medium,0,2,0,1,1,8,Medium,"Applicant statement: Covering the final semester fees for my degree. I have a job lined up immediately after graduation.
credit_score: 665
annual_income: 52000
loan_amount: 9000
loan_to_income_ratio: 0.173
number_of_dependents: 1
loan_purpose: Education
sentiment: Positive"
L1024,40,Female,Real Estate Agent,88000,20000,Business,700,2,Need short-term financing to cover marketing expenses for a major property listing. Commission pipeline looks very strong.,1,Positive,88000,0.22727272727272727,1-2,Low,0,1,1,1,1,7,Medium,"Applicant statement: Need short-term financing to cover marketing expenses for a major property listing. Commission pipeline looks very strong.
credit_score: 700
annual_income: 88000
loan_amount: 20000
loan_to_income_ratio: 0.227
number_of_dependents: 2
loan_purpose: Business
sentiment: Positive"
L1025,65,Male,Retired,55000,5000,Medical,770,3,Routine major health procedure coverage. My fixed income is reliable.,1,Positive,55000,0.09090909090909091,3+,Low,0,0,0,2,1,3,Low,"Applicant statement: Routine major health procedure coverage. My fixed income is reliable.
credit_score: 770
annual_income: 55000
loan_amount: 5000
loan_to_income_ratio: 0.091
number_of_dependents: 3
loan_purpose: Medical
sentiment: Positive"
L1026,33,Female,Paralegal,62000,13000,Personal,690,1,"Consolidating a few smaller, high-interest loans into one manageable payment. I've created a very strict repayment budget.",1,Positive,62000,0.20967741935483872,1-2,Medium,0,2,1,1,2,11,High,"Applicant statement: Consolidating a few smaller, high-interest loans into one manageable payment. I've created a very strict repayment budget.
credit_score: 690
annual_income: 62000
loan_amount: 13000
loan_to_income_ratio: 0.21
number_of_dependents: 1
loan_purpose: Personal
sentiment: Positive"
L1027,27,Male,Sales Associate,45000,7000,Education,630,0,Hoping to take a specialized coding bootcamp to improve my career prospects. I'm committed to paying this back through hard work.,1,Positive,45000,0.15555555555555556,0,High,0,3,0,0,1,10,High,"Applicant statement: Hoping to take a specialized coding bootcamp to improve my career prospects. I'm committed to paying this back through hard work.
credit_score: 630
annual_income: 45000
loan_amount: 7000
loan_to_income_ratio: 0.156
number_of_dependents: 0
loan_purpose: Education
sentiment: Positive"
L1028,51,Female,Administrator,75000,11000,Home,740,3,Minor home repairs that must be completed before winter. My income is stable and predictable.,1,Positive,75000,0.14666666666666667,3+,Low,0,1,0,2,0,5,Medium,"Applicant statement: Minor home repairs that must be completed before winter. My income is stable and predictable.
credit_score: 740
annual_income: 75000
loan_amount: 11000
loan_to_income_ratio: 0.147
number_of_dependents: 3
loan_purpose: Home
sentiment: Positive"
L1029,35,Male,Chef,48000,15000,Business,590,2,"Trying to start a small catering venture on the side. I have a solid plan, I just need the equipment capital.",0,Positive,48000,0.3125,1-2,High,0,3,1,1,1,13,High,"Applicant statement: Trying to start a small catering venture on the side. I have a solid plan, I just need the equipment capital.
credit_score: 590
annual_income: 48000
loan_amount: 15000
loan_to_income_ratio: 0.312
number_of_dependents: 2
loan_purpose: Business
sentiment: Positive"
L1030,42,Female,Financial Advisor,130000,30000,Education,810,1,Funding advanced certifications in wealth management. Repayment capacity is excellent.,1,Positive,130000,0.23076923076923078,1-2,Low,0,0,1,1,1,4,Low,"Applicant statement: Funding advanced certifications in wealth management. Repayment capacity is excellent.
credit_score: 810
annual_income: 130000
loan_amount: 30000
loan_to_income_ratio: 0.231
number_of_dependents: 1
loan_purpose: Education
sentiment: Positive"
L1031,19,Male,Fast Food Worker,20000,1500,Personal,510,0,"I am in a terrible situation and need this cash immediately to keep my apartment. If I don't get this, I'm out on the street.",0,Negative,20000,0.075,0,High,2,3,0,0,2,13,High,"Applicant statement: I am in a terrible situation and need this cash immediately to keep my apartment. If I don't get this, I'm out on the street.
credit_score: 510
annual_income: 20000
loan_amount: 1500
loan_to_income_ratio: 0.075
number_of_dependents: 0
loan_purpose: Personal
sentiment: Negative"
L1032,59,Female,Scientist,160000,38000,Home,830,2,Purchasing a larger residence suitable for my retirement years. Excellent credit history supports this request.,1,Positive,160000,0.2375,1-2,Low,0,0,1,1,0,3,Low,"Applicant statement: Purchasing a larger residence suitable for my retirement years. Excellent credit history supports this request.
credit_score: 830
annual_income: 160000
loan_amount: 38000
loan_to_income_ratio: 0.238
number_of_dependents: 2
loan_purpose: Home
sentiment: Positive"
L1033,31,Male,Plumber,61000,10000,Business,675,1,Need to purchase a new commercial van for my plumbing service. This will directly increase my earning potential.,1,Positive,61000,0.16393442622950818,1-2,Medium,0,2,0,1,1,8,Medium,"Applicant statement: Need to purchase a new commercial van for my plumbing service. This will directly increase my earning potential.
credit_score: 675
annual_income: 61000
loan_amount: 10000
loan_to_income_ratio: 0.164
number_of_dependents: 1
loan_purpose: Business
sentiment: Positive"
L1034,46,Female,HR Specialist,80000,17000,Medical,725,3,Covering specialist surgery costs not fully covered by insurance. My budget accounts for this repayment.,1,Positive,80000,0.2125,3+,Low,0,1,1,2,1,8,Medium,"Applicant statement: Covering specialist surgery costs not fully covered by insurance. My budget accounts for this repayment.
credit_score: 725
annual_income: 80000
loan_amount: 17000
loan_to_income_ratio: 0.212
number_of_dependents: 3
loan_purpose: Medical
sentiment: Positive"
L1035,25,Male,Warehouse Supervisor,39000,8500,Personal,605,1,Trying to pay off an old debt that is impacting my ability to rent a better apartment. It is urgent.,0,Negative,39000,0.21794871794871795,1-2,High,2,3,1,1,2,16,High,"Applicant statement: Trying to pay off an old debt that is impacting my ability to rent a better apartment. It is urgent.
credit_score: 605
annual_income: 39000
loan_amount: 8500
loan_to_income_ratio: 0.218
number_of_dependents: 1
loan_purpose: Personal
sentiment: Negative"
L1036,53,Female,Professor,102000,25000,Education,795,2,Supporting my daughter's final year of graduate school abroad. My career stability guarantees repayment.,1,Positive,102000,0.24509803921568626,1-2,Low,0,0,1,1,1,4,Low,"Applicant statement: Supporting my daughter's final year of graduate school abroad. My career stability guarantees repayment.
credit_score: 795
annual_income: 102000
loan_amount: 25000
loan_to_income_ratio: 0.245
number_of_dependents: 2
loan_purpose: Education
sentiment: Positive"
L1037,39,Male,Truck Driver,75000,18000,Home,655,4,Funds required for essential maintenance on my current home. I have significant dependents but steady income.,1,Positive,75000,0.24,3+,Low,0,2,1,2,0,10,High,"Applicant statement: Funds required for essential maintenance on my current home. I have significant dependents but steady income.
credit_score: 655
annual_income: 75000
loan_amount: 18000
loan_to_income_ratio: 0.24
number_of_dependents: 4
loan_purpose: Home
sentiment: Positive"
L1038,23,Female,Intern,30000,4000,Personal,560,0,I'm new to the workforce and struggling to manage initial living expenses until my official salary kicks in. Hoping for leniency.,0,Negative,30000,0.13333333333333333,0,High,2,3,0,0,2,13,High,"Applicant statement: I'm new to the workforce and struggling to manage initial living expenses until my official salary kicks in. Hoping for leniency.
credit_score: 560
annual_income: 30000
loan_amount: 4000
loan_to_income_ratio: 0.133
number_of_dependents: 0
loan_purpose: Personal
sentiment: Negative"
L1039,61,Male,Landscaper,50000,6000,Medical,730,3,Just covering some supplemental vision care costs. Everything is fine otherwise.,1,Positive,50000,0.12,3+,Low,0,1,0,2,1,6,Medium,"Applicant statement: Just covering some supplemental vision care costs. Everything is fine otherwise.
credit_score: 730
annual_income: 50000
loan_amount: 6000
loan_to_income_ratio: 0.12
number_of_dependents: 3
loan_purpose: Medical
sentiment: Positive"
L1040,47,Female,Biologist,115000,21000,Business,778,1,Need capital to acquire lab equipment for a new research project. My institutional funding stream is solid.,1,Positive,115000,0.1826086956521739,1-2,Low,0,0,0,1,1,2,Low,"Applicant statement: Need capital to acquire lab equipment for a new research project. My institutional funding stream is solid.
credit_score: 778
annual_income: 115000
loan_amount: 21000
loan_to_income_ratio: 0.183
number_of_dependents: 1
loan_purpose: Business
sentiment: Positive"
L1041,34,Male,Carpenter,53000,12000,Home,645,2,"Putting in a new kitchen. I handle all construction myself, so the loan is just for materials.",1,Positive,53000,0.22641509433962265,1-2,High,0,3,1,1,0,12,High,"Applicant statement: Putting in a new kitchen. I handle all construction myself, so the loan is just for materials.
credit_score: 645
annual_income: 53000
loan_amount: 12000
loan_to_income_ratio: 0.226
number_of_dependents: 2
loan_purpose: Home
sentiment: Positive"
L1042,56,Female,Executive,190000,50000,Personal,840,0,Requesting a loan for a significant personal investment portfolio diversification. Repayment from established passive income streams.,1,Positive,190000,0.2631578947368421,0,Low,0,0,1,0,2,4,Low,"Applicant statement: Requesting a loan for a significant personal investment portfolio diversification. Repayment from established passive income streams.
credit_score: 840
annual_income: 190000
loan_amount: 50000
loan_to_income_ratio: 0.263
number_of_dependents: 0
loan_purpose: Personal
sentiment: Positive"
L1043,28,Male,Cashier,35000,7500,Personal,585,1,Need help covering car repairs so I can keep my job. This is critical for my short-term survival.,0,Negative,35000,0.21428571428571427,1-2,High,2,3,1,1,2,16,High,"Applicant statement: Need help covering car repairs so I can keep my job. This is critical for my short-term survival.
credit_score: 585
annual_income: 35000
loan_amount: 7500
loan_to_income_ratio: 0.214
number_of_dependents: 1
loan_purpose: Personal
sentiment: Negative"
L1044,43,Female,Project Manager,98000,24000,Education,765,2,"Funding executive MBA modules. My employer is partially sponsoring, but I need this gap covered.",1,Neutral,98000,0.24489795918367346,1-2,Low,1,0,1,1,1,5,Medium,"Applicant statement: Funding executive MBA modules. My employer is partially sponsoring, but I need this gap covered.
credit_score: 765
annual_income: 98000
loan_amount: 24000
loan_to_income_ratio: 0.245
number_of_dependents: 2
loan_purpose: Education
sentiment: Neutral"
L1045,50,Male,Mechanic,62000,9000,Business,680,4,Buying a specialized diagnostic machine for the garage. This investment will pay for itself quickly.,1,Positive,62000,0.14516129032258066,3+,Medium,0,2,0,2,1,9,High,"Applicant statement: Buying a specialized diagnostic machine for the garage. This investment will pay for itself quickly.
credit_score: 680
annual_income: 62000
loan_amount: 9000
loan_to_income_ratio: 0.145
number_of_dependents: 4
loan_purpose: Business
sentiment: Positive"
L1046,21,Female,Student,15000,2000,Personal,535,0,"I am drowning in small bills and fees. I need immediate help to stop the late payment cycle, I'm completely overwhelmed.",0,Negative,15000,0.13333333333333333,0,High,2,3,0,0,2,13,High,"Applicant statement: I am drowning in small bills and fees. I need immediate help to stop the late payment cycle, I'm completely overwhelmed.
credit_score: 535
annual_income: 15000
loan_amount: 2000
loan_to_income_ratio: 0.133
number_of_dependents: 0
loan_purpose: Personal
sentiment: Negative"
L1047,46,Male,Firefighter,82000,16000,Home,710,3,Securing funds for an addition to our home for my growing family. Stable public sector job.,1,Positive,82000,0.1951219512195122,3+,Low,0,1,0,2,0,5,Medium,"Applicant statement: Securing funds for an addition to our home for my growing family. Stable public sector job.
credit_score: 710
annual_income: 82000
loan_amount: 16000
loan_to_income_ratio: 0.195
number_of_dependents: 3
loan_purpose: Home
sentiment: Positive"
L1048,32,Female,Social Worker,51000,10000,Medical,660,2,Covering unexpected costs related to an accident. I just need a little breathing room right now.,0,Neutral,51000,0.19607843137254902,1-2,Medium,1,2,0,1,1,9,High,"Applicant statement: Covering unexpected costs related to an accident. I just need a little breathing room right now.
credit_score: 660
annual_income: 51000
loan_amount: 10000
loan_to_income_ratio: 0.196
number_of_dependents: 2
loan_purpose: Medical
sentiment: Neutral"
L1049,63,Male,Consultant,112000,14000,Personal,785,1,"Investing in high-yield bonds. My risk profile is very low, given my financial standing.",1,Negative,112000,0.125,1-2,Low,2,0,0,1,2,5,Medium,"Applicant statement: Investing in high-yield bonds. My risk profile is very low, given my financial standing.
credit_score: 785
annual_income: 112000
loan_amount: 14000
loan_to_income_ratio: 0.125
number_of_dependents: 1
loan_purpose: Personal
sentiment: Negative"
L1050,37,Female,Chef,59000,13000,Business,695,2,Need specialized oven equipment for scaling up my small restaurant operation. I have excellent local reception.,1,Positive,59000,0.22033898305084745,1-2,Medium,0,2,1,1,1,10,High,"Applicant statement: Need specialized oven equipment for scaling up my small restaurant operation. I have excellent local reception.
credit_score: 695
annual_income: 59000
loan_amount: 13000
loan_to_income_ratio: 0.22
number_of_dependents: 2
loan_purpose: Business
sentiment: Positive"
L1051,49,Male,Accountant,90000,20000,Home,748,2,Refinancing current mortgage for better terms. My income stability is my best asset.,1,Positive,90000,0.2222222222222222,1-2,Low,0,1,1,1,0,6,Medium,"Applicant statement: Refinancing current mortgage for better terms. My income stability is my best asset.
credit_score: 748
annual_income: 90000
loan_amount: 20000
loan_to_income_ratio: 0.222
number_of_dependents: 2
loan_purpose: Home
sentiment: Positive"
L1052,25,Female,Receptionist,34000,5500,Personal,602,1,"Covering moving expenses as I take a new, better-paying job next month. This bridges the gap.",0,Positive,34000,0.16176470588235295,1-2,High,0,3,0,1,2,12,High,"Applicant statement: Covering moving expenses as I take a new, better-paying job next month. This bridges the gap.
credit_score: 602
annual_income: 34000
loan_amount: 5500
loan_to_income_ratio: 0.162
number_of_dependents: 1
loan_purpose: Personal
sentiment: Positive"
L1053,55,Male,Engineer,145000,45000,Education,815,1,Funding my child's final year of medical school. I have the means to repay this easily.,1,Positive,145000,0.3103448275862069,1-2,Low,0,0,1,1,1,4,Low,"Applicant statement: Funding my child's final year of medical school. I have the means to repay this easily.
credit_score: 815
annual_income: 145000
loan_amount: 45000
loan_to_income_ratio: 0.31
number_of_dependents: 1
loan_purpose: Education
sentiment: Positive"
L1054,30,Female,Sales Clerk,38000,7000,Medical,598,3,Unexpected dental work needed urgently. I really hope this gets approved; my savings are depleted.,0,Negative,38000,0.18421052631578946,3+,High,2,3,0,2,1,14,High,"Applicant statement: Unexpected dental work needed urgently. I really hope this gets approved; my savings are depleted.
credit_score: 598
annual_income: 38000
loan_amount: 7000
loan_to_income_ratio: 0.184
number_of_dependents: 3
loan_purpose: Medical
sentiment: Negative"
L1055,41,Male,Pilot,155000,35000,Business,800,0,Purchasing a new flight simulator system for advanced training. My salary is excellent and secure.,1,Positive,155000,0.22580645161290322,0,Low,0,0,1,0,1,3,Low,"Applicant statement: Purchasing a new flight simulator system for advanced training. My salary is excellent and secure.
credit_score: 800
annual_income: 155000
loan_amount: 35000
loan_to_income_ratio: 0.226
number_of_dependents: 0
loan_purpose: Business
sentiment: Positive"
L1056,68,Female,Retired,52000,4500,Personal,752,4,A small loan to cover immediate living expenses until my quarterly dividends arrive. Everything is well managed.,1,Positive,52000,0.08653846153846154,3+,Low,0,0,0,2,2,4,Low,"Applicant statement: A small loan to cover immediate living expenses until my quarterly dividends arrive. Everything is well managed.
credit_score: 752
annual_income: 52000
loan_amount: 4500
loan_to_income_ratio: 0.087
number_of_dependents: 4
loan_purpose: Personal
sentiment: Positive"
L1057,22,Male,Tutor,29000,3500,Education,572,1,Need funds for textbooks and travel costs for my continuing university education. I'm working hard to keep costs down.,0,Positive,29000,0.1206896551724138,1-2,High,0,3,0,1,1,11,High,"Applicant statement: Need funds for textbooks and travel costs for my continuing university education. I'm working hard to keep costs down.
credit_score: 572
annual_income: 29000
loan_amount: 3500
loan_to_income_ratio: 0.121
number_of_dependents: 1
loan_purpose: Education
sentiment: Positive"
L1058,38,Female,Lawyer,120000,28000,Home,792,2,"Need to finalize the purchase of a legal office downtown. My practice has steady, high-value clients.",1,Positive,120000,0.23333333333333334,1-2,Low,0,0,1,1,0,3,Low,"Applicant statement: Need to finalize the purchase of a legal office downtown. My practice has steady, high-value clients.
credit_score: 792
annual_income: 120000
loan_amount: 28000
loan_to_income_ratio: 0.233
number_of_dependents: 2
loan_purpose: Home
sentiment: Positive"
L1059,45,Male,Driver,42000,9000,Personal,565,3,"Car broke down, and I need it for work. If I can't drive, I can't earn. Please help me out.",0,Negative,42000,0.21428571428571427,3+,High,2,3,1,2,2,17,High,"Applicant statement: Car broke down, and I need it for work. If I can't drive, I can't earn. Please help me out.
credit_score: 565
annual_income: 42000
loan_amount: 9000
loan_to_income_ratio: 0.214
number_of_dependents: 3
loan_purpose: Personal
sentiment: Negative"
L1060,52,Female,Doctor,195000,55000,Medical,835,1,Funding advanced medical research equipment purchase. My professional credibility assures repayment.,1,Positive,195000,0.28205128205128205,1-2,Low,0,0,1,1,1,4,Low,"Applicant statement: Funding advanced medical research equipment purchase. My professional credibility assures repayment.
credit_score: 835
annual_income: 195000
loan_amount: 55000
loan_to_income_ratio: 0.282
number_of_dependents: 1
loan_purpose: Medical
sentiment: Positive"
L1061,26,Male,Retail Manager,47000,11000,Business,652,0,"Starting a small online retail venture. I need initial inventory capital. It's a big risk, but I feel it's worth it.",0,Neutral,47000,0.23404255319148937,0,Medium,1,2,1,0,1,10,High,"Applicant statement: Starting a small online retail venture. I need initial inventory capital. It's a big risk, but I feel it's worth it.
credit_score: 652
annual_income: 47000
loan_amount: 11000
loan_to_income_ratio: 0.234
number_of_dependents: 0
loan_purpose: Business
sentiment: Neutral"
L1062,60,Female,Accountant,95000,18000,Education,742,3,Paying off remaining student debt from my postgraduate studies. Time to clear the slate.,1,Positive,95000,0.18947368421052632,3+,Low,0,1,0,2,1,6,Medium,"Applicant statement: Paying off remaining student debt from my postgraduate studies. Time to clear the slate.
credit_score: 742
annual_income: 95000
loan_amount: 18000
loan_to_income_ratio: 0.189
number_of_dependents: 3
loan_purpose: Education
sentiment: Positive"
